Code,Description
5531,Auto / Home Supply
5542,Automated Fuel Dispensers
7512,Automobile Rental Agency
5533,Automotive Parts and Accessories Stores
5532,Automotive Tire Stores
5551,Boat Dealers
5561,Camper, Recreational and Utility Trailer Dealers
5511,Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing
5521,Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing
5599,Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified)
7519,Motor Home and Recreational Vehicle Rentals
5592,Motor Homes Dealers
5571,Motorcycle Shops and Dealers
5541,Service Stations (With or without Ancillary Services)
5598,Snowmobile Dealers
7513,Truck and Utility Trailer Rentals Business Services
7311,Advertising Services
7333,Commercial Photography, Art, and Graphics
7379,Computer Maintenance, Repair and Services (Not Elsewhere Classified)
7372,Computer Programming, Data Processing, and Integrated Systems Design Services
7321,Consumer Credit Reporting Agencies
7349,Cleaning, Maintenance, and Janitorial Services
7393,Detective Agencies, Protective Services, and Security Services, including Armored Cars, and Guard Dogs
7394,Equipment, Tool, Furniture, and Appliance Rental and Leasing
7342,Exterminating and Disinfecting Services
7375,Information Retrieval Services
7392,Management, Consulting, and Public Relations Services
7523,Parking Lots, Parking Meters and Garages
7395,Photofinishing Laboratories and Photo Developing
7338,Quick Copy, Reproduction, and Blueprinting Services
7339,Stenographic and Secretarial Support
7399,Business Services - Not Elsewhere Classified Contracted Services
0763,Agricultural Co-operatives
1750,Carpentry Contractors
1771,Concrete Work Contractors
1731,Electrical Contractors
1520,General Contractors – Residential and Commercial
1711,Heating, Plumbing, and Air Conditioning Contractors
0780,Landscaping and Horticultural Services
1740,Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors
1761,Roofing, Siding, and Sheet Metal Work Contractors
1799,Special Trade Contractors (Not Elsewhere Classified)
0742,Veterinary Services Distributor and Manufacturer
5192,Books, Periodicals, and Newspapers Distributors
5169,Chemicals and Allied Products (Not Elsewhere Classified)
5046,Commercial Equipment (Not Elsewhere Classified)
5139,Commercial Footwear
5045,Computers and Computer Peripheral Equipment and Software
5039,Construction Materials (Not Elsewhere Classified)
5047,Dental / Laboratory / Medical / Ophthalmic Hospital Equipment and Supplies
5099,Durable goods - Not Elsewhere Classified
5065,Electrical Parts and Equipment
5193,Florists Supplies, Nursery Stock and Flowers
5072,Hardware, Equipment and Supplies
5085,Industrial Supplies (Not Elsewhere Classified)
5137,Men’s, Women’s, and Children’s Uniforms and Commercial Clothing
5051,Metal Service Centers and Offices
5013,Motor Vehicle Supplies and New Parts
5199,Nondurable Goods (Not Elsewhere Classified)
5021,Office and Commercial Furniture
5198,Paints, Varnishes and Supplies
5172,Petroleum & Petroleum Products - Wholesale Distributors
5044,Photographic, Photocopy, Microfilm Equipment and Supplies
5131,Piece Goods, Notions, and Other Dry Goods
5074,Plumbing and Heating Equipment and Supplies
5094,Precious Stones, Metals, Watches and Jewelry
5111,Stationery, Office Supplies, Printing and Writing Paper Education
8244,Business and Secretarial Schools
8220,Colleges, Universities, Professional Schools, and Junior Colleges
8241,Correspondence Schools
8211,Elementary and Secondary Schools
8299,Schools and Educational Services (Not Elsewhere Classified)
8249,Vocational and Trade Schools Entertainment
7996,Amusement Parks, Circuses, Carnivals, and Fortune Tellers
7998,Aquariums, Seaquariums, Dolphinariums, and Zoos
7929,Bands, Orchestras & Misc Entertainment
7932,Billiard and Pool Establishments
7933,Bowling Alleys
7941,Commercial Sports, Professional Sports Clubs, Athletic Fields, and Sports Promoters
7911,Dance Halls, Studios, & Schools
7841,DVD / Video Tape Rental Stores
7997,Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses)
7829,Motion Picture & Video Tape Production and Distribution
7832,Motion Picture Theaters
7992,Public Golf Courses
7999,Recreation Services (Not Elsewhere Classified)
7922,Theatrical Producers (except Motion Pictures) and Ticket Agencies
7991,Tourist Attractions and Exhibits
7993,Video Amusement Game Supplies Government
9211,Court Costs, Including Alimony and Child Support
9222,Fines
9399,Government Services (Not Elsewhere Classified)
9311,Tax Payments Healthcare
8041,Chiropractors
8021,Dentists and Orthodontists
8011,Doctors and Physicians (Not Elsewhere Classified)
8062,Hospitals
8071,Medical and Dental Laboratories
8099,Medical Services and Health Practitioners (Not Elsewhere Classified)
8050,Nursing and Personal Care Facilities
8043,Opticians, Optical Goods, and Eyeglasses
8042,Optometrists and Ophthalmologists
8031,Osteopaths
8049,Podiatrists and Chiropodists Marketing
5964,Direct Marketing – Catalog Merchant
5960,Direct Marketing – Insurance Services
5969,Direct Marketing – Other Direct Marketers (Not Elsewhere Classified) Organizations
8675,Automobile Associations
8398,Charitable and Social Service Organizations
8641,Civic, Social, and Fraternal Associations
8699,Membership Organizations (Not Elsewhere Classified)
8651,Political Organizations
8661,Religious Organizations Personal Services
7230,Beauty and Barber Shops
7278,Buying and Shopping Services and Clubs
7217,Carpet and Upholstery Cleaning
7296,Clothing Rental – Costumes, Uniforms, Formal Wear
7216,Dry Cleaners
7261,Funeral Services and Crematories
7298,Health and Beauty Spas
7211,Laundries – Family and Commercial
7210,Laundry, Cleaning, and Garment Services
7299,Miscellaneous Personal Services (Not Elsewhere Classified)
7221,Photographic Studios
7251,Shoe Repair Shops, Shoe Shine Parlors, and Hat Cleaning Shops
7276,Tax Preparation Services Professional Services
8931,Accounting, Auditing, and Bookkeeping Services
8911,Architectural, Engineering, and Surveying Services
8351,Child Care Services
6300,Insurance Sales, Underwriting, and Premiums
8111,Legal Services and Attorneys
2741,Miscellaneous Publishing and Printing
8999,Professional Services (Not Elsewhere Classified)
6513,Real Estate Agents and Managers – Rentals
2842,Specialty Cleaning, Polishing and Sanitation Preparations
7032,Sporting and Recreational Camps
7033,Trailer Parks and Campgrounds
2791,Typesetting, Plate Making and Related Services Repair Services
7623,Air Conditioning and Refrigeration Repair Shops
7531,Automotive Body Repair Shops
7535,Automotive Paint Shops
7538,Automotive Service Shops (Non-Dealer)
7542,Car Washes
7629,Electrical and Small Appliance Repair Shops
7622,Electronics Repair Shops
7641,Furniture - Reupholster, Repair, and Refinishing
7699,Miscellaneous Repair Shops and Related Services
7534,Tire Retreading and Repair Shops
7549,Towing Services
7631,Watch, Clock and Jewelry Repair
7692,Welding Services Restaurant
5811,Caterers
5813,Drinking Places (Alcoholic Beverages) - Bars, Taverns, Nightclubs, Cocktail Lounges, and Discotheques
5812,Eating Places and Restaurants
5814,Fast Food Restaurants Retail
5937,Antique Reproductions
5932,Antique Shops – Sales, Repairs, and Restoration Services
5971,Art Dealers and Galleries
5970,Artist’s Supply and Craft Shops
5462,Bakeries
5940,Bicycle Shops – Sales and Service
5942,Book Stores
5946,Camera and Photographic Supply Stores
5441,Candy, Nut, and Confectionery Stores
5641,Children’s and Infants’ Wear Stores
5734,Computer Software Stores
5977,Cosmetic Stores
5451,Dairy Products Stores
5311,Department Stores
5817,Digital Goods – Applications (Excludes Games)
5816,Digital Goods – Games
5818,Digital Goods – Large Digital Goods Merchant
5815,Digital Goods Media – Books, Movies, Music
5310,Discount Stores
5714,Drapery, Window Covering, and Upholstery Stores
5309,Duty Free Stores
5997,Electric Razor Stores – Sales and Service
5732,Electronics Stores
5651,Family Clothing Stores
5718,Fireplace, Fireplace Screens and Accessories Stores
5713,Floor Covering Stores
5992,Florists
5422,Freezer and Locker Meat Provisioners
5983,Fuel Dealers – Fuel Oil, Wood, Coal, and Liquefied Petroleum
5712,Furniture, Home Furnishings, and Equipment Stores, except Appliances
5681,Furriers and Fur Shops
5947,Gift, Card, Novelty and Souvenir Shops
5231,Glass, Paint, and Wallpaper Stores
5950,Glassware / Crystal Stores
5411,Grocery Stores and Supermarkets
5251,Hardware Stores
5975,Hearing Aids – Sales, Service, and Supply
5945,Hobby, Toy, and Game Stores
5200,Home Supply Warehouse Stores
5722,Household Appliance Stores
5944,Jewelry Stores, Watches, Clocks, and Silverware Stores
5948,Luggage and Leather Goods Stores
5211,Lumber and Building Materials Stores
5611,Men's and Boys’ Clothing and Accessories Stores
5691,Men's and Women's Clothing Stores
5999,Miscellaneous and Specialty Retail Shops
